strategy_id,stage,strategy_preset,bull_weight,consolidation_weight,bear_weight,min_regime_bars,rebalance_threshold,max_weight_step,transition_cooldown_bars,final_equity_regime,final_equity_buy_hold,excess_final_equity,cagr_regime,cagr_buy_hold,excess_cagr,total_return_regime,total_return_buy_hold,max_drawdown_regime,max_drawdown_buy_hold,sharpe_regime,sharpe_buy_hold,trade_count,annual_trade_count,transition_triggered_trade_count,total_turnover,turnover_to_initial_cash,total_fees_paid,avg_spot_weight,years,beats_buy_hold,drawdown_not_worse,risk_overlay
custom_weights_b0.75_c0.25_r0.10_m12_th0.20_step0.50_cool12,management,custom_weights,0.75,0.25,0.1,12,0.2,0.5,12,136908.9951577674,185782.11581976915,-48873.12066200175,0.08886463995333949,0.1827737823597011,-0.09390914240636161,0.369089951577674,0.8578211581976916,-0.580893020553121,-0.7704339319608702,0.4452343280677596,0.5822801517680759,94,25.474569978963,0,5621773.058688388,56.21773058688388,2810.886529344194,0.3594599713749952,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.20_step1.00_cool0,management,custom_weights,0.75,0.25,0.1,12,0.2,1.0,0,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.20_step1.00_cool3,management,custom_weights,0.75,0.25,0.1,12,0.2,1.0,3,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.20_step1.00_cool6,management,custom_weights,0.75,0.25,0.1,12,0.2,1.0,6,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.20_step1.00_cool12,management,custom_weights,0.75,0.25,0.1,12,0.2,1.0,12,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.25_cool0,management,custom_weights,0.75,0.25,0.1,12,0.3,0.25,0,117119.79297447356,185782.11581976915,-68662.3228452956,0.04375658003606331,0.1827737823597011,-0.1390172023236378,0.1711979297447357,0.8578211581976916,-0.5767603129978355,-0.7704339319608702,0.29331064600652257,0.5822801517680759,115,31.165697314688778,0,3200763.1270323424,32.00763127032342,1600.3815635161714,0.40368897765454703,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.25_cool3,management,custom_weights,0.75,0.25,0.1,12,0.3,0.25,3,117119.79297447356,185782.11581976915,-68662.3228452956,0.04375658003606331,0.1827737823597011,-0.1390172023236378,0.1711979297447357,0.8578211581976916,-0.5767603129978355,-0.7704339319608702,0.29331064600652257,0.5822801517680759,115,31.165697314688778,0,3200763.1270323424,32.00763127032342,1600.3815635161714,0.40368897765454703,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.25_cool6,management,custom_weights,0.75,0.25,0.1,12,0.3,0.25,6,117119.79297447356,185782.11581976915,-68662.3228452956,0.04375658003606331,0.1827737823597011,-0.1390172023236378,0.1711979297447357,0.8578211581976916,-0.5767603129978355,-0.7704339319608702,0.29331064600652257,0.5822801517680759,115,31.165697314688778,0,3200763.1270323424,32.00763127032342,1600.3815635161714,0.40368897765454703,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.25_cool12,management,custom_weights,0.75,0.25,0.1,12,0.3,0.25,12,117119.79297447356,185782.11581976915,-68662.3228452956,0.04375658003606331,0.1827737823597011,-0.1390172023236378,0.1711979297447357,0.8578211581976916,-0.5767603129978355,-0.7704339319608702,0.29331064600652257,0.5822801517680759,115,31.165697314688778,0,3200763.1270323424,32.00763127032342,1600.3815635161714,0.40368897765454703,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.50_cool0,management,custom_weights,0.75,0.25,0.1,12,0.3,0.5,0,129489.52508489076,185782.11581976915,-56292.590734878395,0.07254683947574936,0.1827737823597011,-0.11022694288395174,0.29489525084890755,0.8578211581976916,-0.5808930205531209,-0.7704339319608702,0.39520193285344135,0.5822801517680759,92,24.93255785175102,0,5269182.9120659605,52.691829120659605,2634.59145603298,0.3577945735720888,3.689954337899543,False,True,True
